Date,Adj Close,Day
2019-07-23,251.505325,"2,129"
2019-07-24,250.824448,"2,130"
2019-07-25,249.701843,"2,131"
2019-07-26,250.134323,"2,132"
2019-07-29,250.382706,"2,135"
2019-07-30,250.180344,"2,136"
2019-07-31,247.061295,"2,137"
2019-08-01,244.521866,"2,138"
2019-08-02,243.647766,"2,139"
2019-08-05,236.553894,"2,142"
2019-08-06,239.489029,"2,143"
2019-08-07,239.442978,"2,144"
2019-08-08,243.022156,"2,145"
2019-08-09,242.148026,"2,146"
2019-08-12,238.67012,"2,149"
2019-08-13,242.138885,"2,150"
2019-08-14,234.695328,"2,151"
2019-08-15,235.873001,"2,152"
2019-08-16,238.81955,"2,153"
2019-08-19,241.089005,"2,156"
2019-08-20,239.566818,"2,157"
2019-08-21,241.725433,"2,158"
2019-08-22,242.214386,"2,159"
2019-08-23,236.430206,"2,160"
2019-08-26,239.022461,"2,163"
2019-08-27,237.823257,"2,164"
2019-08-28,240.212524,"2,165"
2019-08-29,243.450546,"2,166"
2019-08-30,243.662766,"2,167"
2019-09-03,241.16275,"2,171"
2019-09-04,243.478241,"2,172"
2019-09-05,246.937683,"2,173"
2019-09-06,247.528046,"2,174"
2019-09-09,247.970917,"2,177"
2019-09-10,248.515121,"2,178"
2019-09-11,250.636887,"2,179"
2019-09-12,251.218124,"2,180"
2019-09-13,251.47644,"2,181"
2019-09-16,250.157242,"2,184"
2019-09-17,250.516953,"2,185"
2019-09-18,250.895233,"2,186"
2019-09-19,250.387848,"2,187"
2019-09-20,248.979584,"2,188"
2019-09-23,249.081146,"2,191"
2019-09-24,247.795883,"2,192"
2019-09-25,249.284607,"2,193"
2019-09-26,248.63736,"2,194"
2019-09-27,247.81427,"2,195"
2019-09-30,248.914795,"2,198"
2019-10-01,245.51178,"2,199"
2019-10-02,241.09169,"2,200"
2019-10-03,242.284546,"2,201"
2019-10-04,245.659668,"2,202"
2019-10-07,244.809052,"2,205"
2019-10-08,241.886871,"2,206"
2019-10-09,243.59761,"2,207"
2019-10-10,245.058792,"2,208"
2019-10-11,247.971512,"2,209"
2019-10-14,247.694138,"2,212"
